Competition	Replicate	Comp1	Comp2	Day	Dilution	Strain_1_colonies	Strain_1_CFU	Strain_2_colonies	Strain_2_CFU	Method
WT_RY	2	WT	Rho_ydcI	0	-5	50	5000000	29	2900000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	0	-4	140	1400000	108	1080000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	0	-4	176	1760000	121	1210000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	0	-5	37	3700000	23	2300000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	0	-4	136	1360000	107	1070000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	0	-4	102	1020000	96	960000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	0	-4	166	1660000	132	1320000	MultipleTubes
WT_Rho	2	WT	Rho	1	-7	29	290000000	33	330000000	MultipleTubes
WFL_ydcI	2	WT	ydcI	1	-7	24	240000000	54	540000000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	1	-7	20	200000000	62	620000000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	1	-7	45	450000000	52	520000000	MultipleTubes
WT_Rho	2	WT	Rho	4	-6	29	29000000	34	34000000	MultipleTubes
WFL_ydcI	2	WT	ydcI	4	-5	94	9400000	498	49800000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	4	-6	17	17000000	30	30000000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	4	-6	53	53000000	2	2000000	MultipleTubes
WT_Rho	2	WT	Rho	7	-5	43	4300000	0.1	10000	MultipleTubes
WFL_ydcI	2	WT	ydcI	7	-5	0.1	10000	9	900000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	7	-5	3	300000	12	1200000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	7	-5	3	300000	0.1	10000	MultipleTubes
WT_Rho	2	WT	Rho	14	-5	490	49000000	3	300000	MultipleTubes
WFL_ydcI	2	WT	ydcI	14	-5	1	100000	173	17300000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	14	-4	76	760000	132	1320000	MultipleTubes
ydcI_RY	2	ydcI	Rho_ydcI	14	-4	75	750000	0.1	1000	MultipleTubes
WT_Rho	3	WT	Rho	0	-5	28	2800000	27	2700000	MultipleTubes
WT_Rho	3	WT	Rho	0	-5	23	2300000	20	2000000	MultipleTubes
WT_Rho	3	WT	Rho	0	-5	20	2000000	18	1800000	MultipleTubes
WT_Rho	3	WT	Rho	0	-5	42	4200000	46	4600000	MultipleTubes
WFL_ydcI	3	WT	ydcI	0	-5	49	4900000	29	2900000	MultipleTubes
WFL_ydcI	3	WT	ydcI	0	-5	30	3000000	20	2000000	MultipleTubes
WFL_ydcI	3	WT	ydcI	0	-5	31	3100000	20	2000000	MultipleTubes
WFL_ydcI	3	WT	ydcI	0	-5	44	4400000	40	4000000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	0	-5	44	4400000	28	2800000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	0	-5	37	3700000	44	4400000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	0	-5	24	2400000	48	4800000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	0	-5	23	2300000	31	3100000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	0	-5	30	3000000	13	1300000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	0	-5	38	3800000	48	4800000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	0	-5	18	1800000	23	2300000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	0	-5	30	3000000	19	1900000	MultipleTubes
WT_Rho	3	WT	Rho	1	-7	16	160000000	25	250000000	MultipleTubes
WFL_ydcI	3	WT	ydcI	1	-7	17	170000000	39	390000000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	1	-7	21	210000000	46	460000000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	1	-7	22	220000000	23	230000000	MultipleTubes
WT_Rho	3	WT	Rho	4	-6	72	72000000	156	156000000	MultipleTubes
WFL_ydcI	3	WT	ydcI	4	-6	17	17000000	52	52000000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	4	-6	3	3000000	28	28000000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	4	-6	70	70000000	3	3000000	MultipleTubes
WT_Rho	3	WT	Rho	7	-5	29	2900000	1	100000	MultipleTubes
WFL_ydcI	3	WT	ydcI	7	-5	1	100000	7	700000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	7	-5	27	2700000	3	300000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	7	-5	13	1300000	0.1	10000	MultipleTubes
WT_Rho	3	WT	Rho	14	-5	67	6700000	0.1	10000	MultipleTubes
WFL_ydcI	3	WT	ydcI	14	-5	0.1	10000	147	14700000	MultipleTubes
WT_RY	3	WT	Rho_ydcI	14	-5	259	25900000	0.1	10000	MultipleTubes
ydcI_RY	3	ydcI	Rho_ydcI	14	-4	87	870000	0.1	1000	MultipleTubes
WT_Rho	1	WT	Rho	11	-6	20	20000000	0.01	10000	SingleFlask
WT_Rho	1	WT	Rho	12	-6	46	46000000	0.01	10000	SingleFlask
WT_Rho	1	WT	Rho	13	-6	46	46000000	0.01	10000	SingleFlask
WT_Rho	1	WT	Rho	14	-6	48	48000000	0.01	10000	SingleFlask
WT_Rho	2	WT	Rho	11	-6	42	42000000	0.01	10000	SingleFlask
WT_Rho	2	WT	Rho	12	-6	66	66000000	0.01	10000	SingleFlask
WT_Rho	2	WT	Rho	13	-6	43	43000000	0.01	10000	SingleFlask
WT_Rho	2	WT	Rho	14	-6	68	68000000	0.01	10000	SingleFlask
WT_Rho	3	WT	Rho	11	-6	52	52000000	0.01	10000	SingleFlask
WT_Rho	3	WT	Rho	12	-6	59	59000000	0.01	10000	SingleFlask
WT_Rho	3	WT	Rho	13	-6	60	60000000	0.01	10000	SingleFlask
WT_Rho	3	WT	Rho	14	-6	40	40000000	0.01	10000	SingleFlask
WFL_ydcI	1	WT	ydcI	11	-6	0.01	10000	59	59000000	SingleFlask
WFL_ydcI	1	WT	ydcI	12	-6	0.01	10000	68	68000000	SingleFlask
WFL_ydcI	1	WT	ydcI	13	-6	0.01	10000	36	36000000	SingleFlask
WFL_ydcI	1	WT	ydcI	14	-6	0.01	10000	44	44000000	SingleFlask
WFL_ydcI	2	WT	ydcI	11	-6	0.01	10000	111	111000000	SingleFlask
WFL_ydcI	2	WT	ydcI	12	-6	0.01	10000	96	96000000	SingleFlask
WFL_ydcI	2	WT	ydcI	13	-6	0.01	10000	107	107000000	SingleFlask
WFL_ydcI	2	WT	ydcI	14	-6	0.01	10000	64	64000000	SingleFlask
WFL_ydcI	3	WT	ydcI	11	-6	0.01	10000	41	41000000	SingleFlask
WFL_ydcI	3	WT	ydcI	12	-6	0.01	10000	93	93000000	SingleFlask
WFL_ydcI	3	WT	ydcI	13	-6	0.01	10000	62	62000000	SingleFlask
WFL_ydcI	3	WT	ydcI	14	-6	0.01	10000	50	50000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	11	-6	22	22000000	57	57000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	12	-6	0.8	800000	53	53000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	13	-6	0.01	10000	54	54000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	14	-6	1	1000000	59	59000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	11	-6	0.1	100000	61	61000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	12	-6	2	2000000	43	43000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	13	-6	12	12000000	53	53000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	14	-6	21	21000000	21	21000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	11	-6	0.1	100000	49	49000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	12	-6	1	1000000	56	56000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	13	-6	0.01	10000	57	57000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	14	-6	0.01	10000	57	57000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	11	-6	109	109000000	0.1	100000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	12	-6	68	68000000	0.2	200000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	13	-6	51	51000000	0.01	10000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	14	-6	51	51000000	0.01	10000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	11	-6	16	16000000	0.01	10000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	12	-6	95	95000000	0.01	10000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	13	-6	20	20000000	1	1000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	14	-6	35	35000000	1	1000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	11	-6	41	41000000	27	27000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	12	-6	33	33000000	24	24000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	13	-6	46	46000000	23	23000000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	14	-6	59	59000000	8	8000000	SingleFlask
